Date,MSFT,INTC,UPS,VZ,JPM,AXP,PFE,MRK,JNJ,XOM,AMT,BAC,AAPL,GS,CVX,T,DIS,NEE,CAT,PG,UNH,SPY,CSCO,FCX,HD,NKE,HON,ORCL,WMT,MCD,KO
2010-01-04,23.02750587463379,13.519424438476562,32.95256805419922,13.316374778747559,28.279199600219727,32.38095474243164,9.051423072814941,20.460763931274414,39.97480773925781,37.37727355957031,31.46263313293457,12.100780487060547,6.4064812660217285,129.9575958251953,40.89091873168945,6.673782825469971,27.291231155395508,8.29085636138916,39.124385833740234,37.86110305786133,24.40769386291504,84.79638671875,15.889596939086914,29.861677169799805,19.44181251525879,13.178886413574219,25.312280654907227,19.94736099243164,12.90919303894043,40.33241653442383,17.31633186340332
2010-01-05,23.03494644165039,13.51295280456543,33.009220123291016,13.340385437011719,28.82696533203125,32.309730529785156,8.922321319580078,20.54368782043457,39.51129913330078,37.52323532104492,31.98386573791504,12.494112014770508,6.417556285858154,132.25514221191406,41.18056869506836,6.641091346740723,27.2231502532959,8.209893226623535,39.59214782714844,37.873477935791016,24.368982315063477,85.02082061767578,15.818811416625977,30.04057502746582,19.58421516418457,13.231322288513184,25.362470626831055,19.92328453063965,12.780643463134766,40.02402114868164,17.10686492919922
2010-01-06,22.893585205078125,13.467629432678223,32.76567459106445,12.95678997039795,28.9853572845459,32.831993103027344,8.893634796142578,20.82010841369629,39.83265686035156,37.847530364990234,32.1503791809082,12.640652656555176,6.3154778480529785,130.84352111816406,41.185733795166016,6.575851917266846,27.07848358154297,8.29085636138916,39.712406158447266,37.69384002685547,24.608951568603516,85.0807113647461,15.715835571289062,31.23920249938965,19.51641273498535,13.15065860748291,25.362470626831055,19.634309768676758,12.752083778381348,39.47795104980469,17.100793838500977
2010-01-07,22.655492782592773,13.33813190460205,32.51644515991211,12.879671096801758,29.559520721435547,33.3644905090332,8.860161781311035,20.853281021118164,39.548370361328125,37.728614807128906,32.06350326538086,13.05711555480957,6.303801536560059,133.40399169921875,41.030574798583984,6.502019882202148,27.086992263793945,8.267498016357422,39.87278747558594,37.48941421508789,25.553367614746094,85.4398193359375,15.786627769470215,30.641658782958984,19.746971130371094,13.279723167419434,25.85177993774414,19.57008934020996,12.759223937988281,39.76705551147461,17.05828857421875
2010-01-08,22.811731338500977,13.48705005645752,34.07969665527344,12.887787818908691,29.486919403076172,33.340667724609375,8.931884765625,20.842227935791016,39.68433380126953,37.577266693115234,32.128665924072266,12.94143009185791,6.345710754394531,130.881103515625,41.10298156738281,6.4543867111206055,27.129539489746094,8.195878982543945,40.320491790771484,37.43986892700195,25.313400268554688,85.72417449951172,15.870296478271484,31.521841049194336,19.65203094482422,13.253503799438477,26.42264175415039,19.8109130859375,12.694947242736816,39.72852325439453,16.74256134033203
2010-01-11,22.521575927734375,13.564750671386719,35.58062744140625,12.940553665161133,29.387929916381836,32.959171295166016,9.003608703613281,20.92514419555664,39.690521240234375,37.99888229370117,31.839082717895508,13.05711555480957,6.289732933044434,128.8163299560547,41.83224868774414,6.423422813415527,26.68702507019043,8.189651489257812,42.853057861328125,37.29118347167969,25.483707427978516,85.8438949584961,15.825242042541504,31.51827049255371,19.095970153808594,13.090156555175781,26.755117416381836,19.81892967224121,12.904427528381348,40.03687286376953,17.08257484436035
2010-01-12,22.37276268005371,13.344605445861816,35.34274673461914,12.95273494720459,28.70159149169922,33.39628982543945,8.974920272827148,20.759296417236328,39.900657653808594,37.8096923828125,31.448162078857422,12.617509841918945,6.218185901641846,126.00812530517578,41.58916091918945,6.421041011810303,26.22749137878418,7.990360736846924,41.590126037597656,37.71862030029297,24.810226440429688,85.04328155517578,15.574247360229492,30.330385208129883,18.973907470703125,13.072006225585938,26.453996658325195,19.714576721191406,13.02821159362793,40.25529861450195,17.267757415771484
2010-01-13,22.581092834472656,13.571221351623535,35.15584182739258,12.936497688293457,29.203149795532227,33.49962615966797,9.185307502746582,21.522220611572266,40.15403747558594,37.65835189819336,32.11419677734375,12.818037033081055,6.305896759033203,126.94667053222656,41.27366256713867,6.344825744628906,26.627458572387695,8.018383979797363,41.65026092529297,38.10887908935547,25.18954086303711,85.7615737915039,15.857416152954102,30.878787994384766,19.07562255859375,13.188972473144531,26.548097610473633,19.907230377197266,13.094866752624512,40.2103385925293,17.31330108642578
2010-01-14,23.03494644165039,13.907916069030762,35.229469299316406,12.672654151916504,29.4935245513916,33.920833587646484,9.266589164733887,22.108234405517578,40.2343864440918,37.663753509521484,32.29518508911133,12.972282409667969,6.269375801086426,126.5412368774414,41.14435958862305,6.23765230178833,26.397689819335938,7.786396026611328,41.41638946533203,38.146053314208984,25.793352127075195,85.99354553222656,16.056913375854492,30.495267868041992,19.19090461730957,13.106287956237793,26.704933166503906,20.381786346435547,12.904427528381348,40.24888610839844,17.343650817871094
2010-01-15,22.960546493530273,13.467629432678223,35.0765495300293,12.412864685058594,28.82696533203125,33.69035339355469,9.319186210632324,21.820751190185547,39.900657653808594,37.35566329956055,31.85356330871582,12.540385246276855,6.1646013259887695,124.04832458496094,40.978851318359375,6.142384052276611,26.04027557373047,7.870473861694336,40.44758605957031,37.67526626586914,26.126216888427734,85.02835083007812,15.702963829040527,30.215669631958008,19.374004364013672,12.985288619995117,26.742572784423828,20.301355361938477,12.778263092041016,40.01118087768555,17.08864974975586
2010-01-19,23.13910675048828,13.629494667053223,35.25778579711914,12.676717758178711,28.562992095947266,34.14336395263672,9.563045501708984,22.45652961730957,40.388893127441406,37.442142486572266,31.991119384765625,12.586658477783203,6.437314987182617,125.28729248046875,41.21161651611328,6.24003267288208,26.389179229736328,7.923411846160889,40.99251937866211,38.2327766418457,27.194477081298828,86.09081268310547,15.992570877075195,30.32322883605957,19.58421516418457,13.049821853637695,26.880584716796875,20.37374496459961,12.861576080322266,40.782100677490234,17.128114700317383
2010-01-20,22.759660720825195,13.648926734924316,34.64043045043945,12.465636253356934,28.642181396484375,34.15925598144531,9.534356117248535,22.683191299438477,40.265289306640625,36.77189254760742,32.09247589111328,12.717772483825684,6.33822774887085,125.98556518554688,40.42025375366211,6.151907920837402,26.5423526763916,7.781722068786621,40.20536804199219,37.714935302734375,26.745494842529297,85.21538543701172,15.709400177001953,29.93611717224121,19.435033798217773,12.94294261932373,26.573190689086914,20.15657615661621,12.821110725402832,40.480159759521484,16.848817825317383
2010-01-21,22.328126907348633,13.493526458740234,33.8134880065918,12.433161735534668,26.754703521728516,33.50754165649414,9.199649810791016,22.15799331665039,39.5360107421875,36.05298614501953,31.839082717895508,11.93110466003418,6.228663444519043,120.78966522216797,39.432369232177734,6.113801956176758,26.048784255981445,7.633813381195068,38.247581481933594,37.334354400634766,25.623046875,83.5767593383789,15.432665824890137,27.341079711914062,19.312973022460938,12.834037780761719,25.550670623779297,19.97157859802246,12.597347259521484,40.60223388671875,16.505762100219727
2010-01-22,21.546899795532227,12.891369819641113,33.275428771972656,12.315447807312012,25.843957901000977,30.670211791992188,9.065764427185059,21.489059448242188,39.06011199951172,35.72868347167969,30.535991668701172,11.491498947143555,5.919732093811035,115.72137451171875,38.57897186279297,6.047115802764893,25.51266098022461,7.495245456695557,36.49835968017578,37.62758255004883,25.66948890686035,81.71369171142578,14.782660484313965,26.60628890991211,18.797592163085938,12.700942039489746,25.0174503326416,19.424638748168945,12.602112770080566,40.72429275512695,16.466304779052734
2010-01-25,21.814746856689453,13.156835556030273,33.275428771972656,12.453463554382324,25.8769588470459,30.03441047668457,9.013168334960938,21.428239822387695,39.07247543334961,35.59355545043945,31.274417877197266,11.553199768066406,6.078987121582031,116.36717224121094,38.55828094482422,6.092367172241211,25.46160125732422,7.434520721435547,37.09713363647461,37.82722473144531,25.545623779296875,82.13268280029297,14.795543670654297,26.73891258239746,18.72978401184082,12.840089797973633,25.23072624206543,19.328105926513672,12.5878267288208,40.53157043457031,16.49969482421875
2010-01-26,21.948673248291016,12.949639320373535,33.21311950683594,12.246444702148438,25.368797302246094,30.28076934814453,8.97969913482666,21.328723907470703,38.80672073364258,35.631378173828125,30.796619415283203,11.391239166259766,6.164900302886963,113.28865051269531,38.351402282714844,6.03282356262207,25.240341186523438,7.663394927978516,37.57481002807617,37.86466598510742,25.11212730407715,81.78851318359375,14.737618446350098,25.803407669067383,18.804380416870117,12.854204177856445,25.07390022277832,19.207460403442383,12.761602401733398,40.99411392211914,16.435941696166992
2010-01-27,22.075159072875977,13.105039596557617,33.60959243774414,12.124667167663574,25.956161499023438,30.733793258666992,9.084896087646484,21.361894607543945,39.20844268798828,35.42597961425781,30.883487701416016,11.71515941619873,6.222977161407471,113.75418853759766,38.118648529052734,6.101894855499268,24.951007843017578,7.747474670410156,35.95339584350586,37.939537048339844,25.731420516967773,82.17760467529297,14.89851188659668,25.53816795349121,18.87896728515625,12.906641006469727,25.255828857421875,19.191377639770508,12.71160888671875,40.94271469116211,16.548269271850586
2010-01-28,21.695695877075195,12.897845268249512,33.39435958862305,11.905477523803711,26.055143356323242,29.748289108276367,8.907977104187012,20.991491317749023,39.430938720703125,35.112483978271484,30.63733673095703,11.853981971740723,5.9658308029174805,115.09820556640625,37.880741119384766,6.0828399658203125,24.97653579711914,7.63070011138916,34.89041519165039,38.482330322265625,25.878501892089844,81.2348403930664,14.493061065673828,24.667177200317383,18.5399112701416,12.80984115600586,24.97980308532715,18.877685546875,12.523557662963867,40.364524841308594,16.448087692260742
2010-01-29,20.966571807861328,12.561150550842285,32.72036361694336,11.942005157470703,25.698762893676758,29.93107032775879,8.922321319580078,21.107585906982422,38.849998474121094,34.82600402832031,30.731464385986328,11.707447052001953,5.749399185180664,111.66682434082031,37.30146408081055,6.039970397949219,25.146732330322266,7.59177827835083,35.14606475830078,38.40122604370117,25.545623779296875,80.3519287109375,14.460884094238281,23.903732299804688,18.994253158569336,12.85622501373291,24.239566802978516,18.54790687561035,12.718751907348633,40.1075439453125,16.469337463378906
2010-02-01,21.137685775756836,12.697123527526855,33.071510314941406,12.019133567810059,26.15413475036621,30.368207931518555,8.984481811523438,21.173933029174805,38.992130279541016,35.77192306518555,31.18753433227539,11.892545700073242,5.82932710647583,114.97810363769531,38.05659103393555,6.044733047485352,25.121200561523438,7.66495418548584,35.617027282714844,38.67573547363281,25.646265029907227,81.60144805908203,14.628217697143555,25.660036087036133,19.251934051513672,12.926802635192871,24.697511672973633,18.676603317260742,12.7306547164917,41.04551696777344,16.508806228637695
2010-02-02,21.174890518188477,12.891369819641113,33.2017936706543,12.067838668823242,26.76129722595215,31.01197624206543,9.199649810791016,21.85944938659668,39.548370361328125,36.19353485107422,31.15134620666504,12.031366348266602,5.863153457641602,117.8388671875,38.506568908691406,6.118564605712891,25.51266098022461,7.719447612762451,36.02741241455078,39.24348831176758,26.35844612121582,82.58909606933594,14.814846992492676,25.989784240722656,19.685941696166992,12.892521858215332,24.79161262512207,19.110944747924805,12.733036041259766,41.13545608520508,16.71219825744629
2010-02-03,21.301366806030273,12.844381332397461,33.343387603759766,11.84864616394043,26.58970832824707,30.463584899902344,8.987271308898926,21.406129837036133,39.325870513916016,35.998924255371094,30.977590560913086,11.977381706237793,5.9640350341796875,118.05653381347656,37.8652229309082,6.092367172241211,26.167926788330078,7.691422939300537,35.919761657714844,39.08751678466797,25.793352127075195,82.17760467529297,14.847028732299805,25.2550106048584,19.30620002746582,12.906641006469727,24.597145080566406,19.1029052734375,12.918712615966797,41.893531799316406,16.657554626464844
2010-02-04,20.713594436645508,12.413619995117188,32.448509216308594,11.621336936950684,25.30939292907715,29.827749252319336,8.702499389648438,20.51051139831543,38.714019775390625,34.98274230957031,29.69619369506836,11.375816345214844,5.749099254608154,113.13848876953125,36.913551330566406,5.961374759674072,25.24885368347168,7.476558208465576,34.5809440612793,38.307640075683594,25.127614974975586,79.64111328125,14.90494155883789,23.921648025512695,18.939998626708984,12.521455764770508,23.66871452331543,18.588125228881836,12.609254837036133,41.15472412109375,16.220396041870117
2010-02-05,20.84752082824707,12.707315444946289,32.39752960205078,11.665986061096191,25.276397705078125,30.082096099853516,8.66871452331543,20.305965423583984,38.714019775390625,35.025997161865234,29.030181884765625,11.568624496459961,5.851176738739014,115.75146484375,36.81528091430664,6.011388778686523,25.13822364807129,7.3800272941589355,34.816402435302734,38.24524688720703,25.18954086303711,79.80570983886719,15.252473831176758,25.172569274902344,18.973907470703125,12.44281005859375,23.505611419677734,18.942033767700195,12.723512649536133,40.7114372253418,16.117183685302734
2010-02-08,20.62430191040039,12.628995895385742,32.06899642944336,11.51579761505127,24.880413055419922,29.239635467529297,8.610796928405762,20.228567123413086,38.54713439941406,35.00967025756836,29.44282341003418,11.167574882507324,5.811063766479492,113.45382690429688,36.27219009399414,5.949467182159424,25.087169647216797,7.30062198638916,34.16381072998047,38.064308166503906,25.088909149169922,79.22956085205078,15.123753547668457,24.803380966186523,19.38755989074707,12.362139701843262,23.12921905517578,18.596168518066406,12.599725723266602,40.422332763671875,15.983611106872559
2010-02-09,20.84008026123047,12.824792861938477,32.51644515991211,11.670045852661133,25.335792541503906,29.835710525512695,8.630101203918457,20.1622371673584,38.78816223144531,35.472103118896484,30.00750732421875,11.159865379333496,5.873030662536621,114.49758911132812,36.88252258300781,6.016152858734131,25.393524169921875,7.233674049377441,36.01395034790039,38.5322380065918,25.545623779296875,80.22472381591797,15.374747276306152,25.656448364257812,19.577444076538086,12.606155395507812,23.72516441345215,18.909868240356445,12.675902366638184,40.83993911743164,16.39647674560547
2010-02-10,20.8252010345459,12.850907325744629,32.32388687133789,11.718758583068848,25.652578353881836,30.00262451171875,8.562527656555176,20.01296043395996,38.769622802734375,35.28169250488281,30.108861923217773,11.31411361694336,5.841001033782959,115.35350036621094,36.592872619628906,5.982809066772461,25.555208206176758,7.149596691131592,35.758296966552734,38.476097106933594,25.321136474609375,80.06759643554688,15.291080474853516,25.45931053161621,19.428247451782227,12.632373809814453,23.66244125366211,18.588125228881836,12.673519134521484,40.63435363769531,16.329694747924805
2010-02-11,20.921918869018555,13.092389106750488,32.39241027832031,11.787758827209473,25.75156021118164,30.43178939819336,8.625271797180176,20.388896942138672,38.880889892578125,35.493873596191406,30.782127380371094,11.283262252807617,5.947271823883057,115.66886138916016,37.099754333496094,5.999482154846191,25.665836334228516,7.155824661254883,37.776634216308594,38.657020568847656,25.638530731201172,80.90560150146484,15.400489807128906,26.584787368774414,19.6588191986084,12.694891929626465,23.982372283935547,18.78116798400879,12.6354398727417,40.98126220703125,16.460235595703125
